Columna,Minimo,Maximo,Rango,Media,Desvio estandar,Cantidad NaN
ph,0.0,1.0,1.0,0.5060197847976027,0.18537650921174426,0
Hardness,0.0,1.0,1.0,0.49719858475898565,0.18638083638879321,0
Solids,0.0,1.0,1.0,0.47840088175350864,0.18189985168678854,0
Chloramines,0.0,1.0,1.0,0.4994379669863526,0.18111014680686846,0
Sulfate,0.0,1.0,1.0,0.49973757805910274,0.18036450481727934,0
Conductivity,0.0,1.0,1.0,0.49719607194784043,0.1770983401712817,0
Organic_carbon,0.0,1.0,1.0,0.5020292372784101,0.18127126384690406,0
Trihalomethanes,0.0,1.0,1.0,0.5002649561154504,0.18301347817411998,0
Turbidity,0.0,1.0,1.0,0.4983959054980308,0.18020203240145008,0
